0,9226,0.0,0,0,0,0,0,0
1,8114,0.012,100,1,1,1,1,0
0,8251,0.0,0,0,0,0,0,0
0,8209,0.0,0,0,0,0,0,0
1,7877,0.013,89,1,1,1,1,0
0,8520,0.0,0,0,0,0,0,0
0,9011,0.0,0,0,0,0,0,0
3,7001,0.043,88,2,3,3,1,0
1,8627,0.012,119,1,1,1,1,0
2,9028,0.022,112,1,2,2,1,0
1,8449,0.012,85,1,1,1,1,0
0,8758,0.0,0,0,0,0,0,0
1,7894,0.013,107,1,1,1,1,0
0,8448,0.0,0,0,0,0,0,0
1,8327,0.012,113,1,1,1,1,0
0,8992,0.0,0,0,0,0,0,0
0,8220,0.0,0,0,0,0,0,0
3,8242,0.036,139,2,3,2,2,0
0,8220,0.0,0,0,0,0,0,0
6,8360,0.072,128,2,6,2,5,0
1,8650,0.012,74,1,1,1,1,0
1,8371,0.012,89,1,1,1,1,0
0,5236,0.0,0,0,0,0,0,0
4,9423,0.042,76,3,4,2,3,0
0,8617,0.0,0,0,0,0,0,0
0,8612,0.0,0,0,0,0,0,0
1,8538,0.012,90,1,1,1,1,0
1,9274,0.011,75,1,1,1,1,0
0,4231,0.0,0,0,0,0,0,0
6,8702,0.069,92,2,6,3,3,0
1,8029,0.012,91,1,1,1,1,0
1,8530,0.012,89,1,1,1,1,0
1,8251,0.012,76,1,1,1,1,0
5,9286,0.054,95,2,5,2,4,0
3,6767,0.044,85,2,3,2,2,0
1,8472,0.012,83,1,1,1,1,0
2,8118,0.025,82,2,2,2,1,0
1,8530,0.012,79,1,1,1,1,0
1,9247,0.011,74,1,1,1,1,0
4,5531,0.072,80,3,3,4,1,0
2,9590,0.021,103,2,2,2,1,0
2,9054,0.022,90,2,2,2,1,0
5,7811,0.064,170,3,5,3,2,0
1,8420,0.012,96,1,1,1,1,0
0,8609,0.0,0,0,0,0,0,0
2,8030,0.025,114,2,2,2,1,0
0,8868,0.0,0,0,0,0,0,0
0,8352,0.0,0,0,0,0,0,0
0,8568,0.0,0,0,0,0,0,0
0,7226,0.0,0,0,0,0,0,0
1,9164,0.011,76,1,1,1,1,0
2,9150,0.022,94,1,2,2,1,0
1,9127,0.011,91,1,1,1,1,0
0,8265,0.0,0,0,0,0,0,0
1,8956,0.011,76,1,1,1,1,0
5,8661,0.058,96,2,5,5,1,0
2,8492,0.024,190,2,2,2,1,0
1,8276,0.012,89,1,1,1,1,0
2,8355,0.024,113,2,2,2,1,0
1,9354,0.011,75,1,1,1,1,0
1,8771,0.011,87,1,1,1,1,0
1,2273,0.044,87,1,1,1,1,0
0,9553,0.0,0,0,0,0,0,0
2,8831,0.023,82,2,2,2,1,0
0,8921,0.0,0,0,0,0,0,0
0,8290,0.0,0,0,0,0,0,0
1,8284,0.012,95,1,1,1,1,0
0,8461,0.0,0,0,0,0,0,0
1,4329,0.023,74,1,1,1,1,0
2,9412,0.021,118,2,2,2,1,0
3,8512,0.035,94,3,3,3,1,0
2,9130,0.022,155,1,2,2,1,0
8,9184,0.087,116,3,8,5,3,0
1,8157,0.012,76,1,1,1,1,0
5,9278,0.054,77,1,5,3,2,0
9,6683,0.135,92,3,9,6,2,0
2,8801,0.023,90,2,2,2,1,0
